BN-2011-740703918351671,BN-2011-7407039,1,835,1,671,0.5,45,-26,3,FALSE
AZ-2011-905031329602514,AZ-2011-9050313,2,960,2,514,0,854,290,7,TRUE
AZ-2011-667430031162295,AZ-2011-6674300,3,116,2,295,0,140,21,3,TRUE
BN-2011-281971448572307,BN-2011-2819714,4,857,2,307,0.5,27,-22,2,TRUE
BN-2011-281971448572586,BN-2011-2819714,4,857,2,586,0.5,17,-1,2,TRUE
AZ-2011-6174235973289,AZ-2011-617423,5,97,3,289,0,90,21,3,FALSE
AZ-2011-61742359731521,AZ-2011-617423,5,97,3,1521,0,207,77,4,FALSE
AZ-2011-291839763763375,AZ-2011-2918397,6,376,3,375,0.1,155,36,1,TRUE
AZ-2011-29183976376344,AZ-2011-2918397,6,376,3,44,0,33,2,3,TRUE
AZ-2011-2918397637631610,AZ-2011-2918397,6,376,3,1610,0.1,716,143,4,TRUE
BN-2011-3248724729721001,BN-2011-3248724,7,297,2,1001,0.6,987,-1012,6,TRUE
BN-2011-324872472972294,BN-2011-3248724,7,297,2,294,0.5,116,-56,5,FALSE
AZ-2011-4827146882300,AZ-2011-4827146,8,8,2,300,0,55,10,1,TRUE
AZ-2011-48271468821630,AZ-2011-4827146,8,8,2,1630,0,97,31,2,FALSE
AZ-2011-643990628152249,AZ-2011-6439906,2,815,2,249,0.6,268,-342,2,TRUE
AZ-2011-6439906281521247,AZ-2011-6439906,2,815,2,1247,0,40,6,5,TRUE
AZ-2011-671279796112993,AZ-2011-6712797,9,611,2,993,0,22,7,3,TRUE
AZ-2011-70535931098241430,AZ-2011-7053593,10,982,4,1430,0,1384,14,3,TRUE
AZ-2011-7053593109824275,AZ-2011-7053593,10,982,4,275,0,103,20,2,FALSE
AZ-2011-2222024119543790,AZ-2011-2222024,11,954,3,790,0.5,34,-6,2,TRUE
AZ-2011-57023701245221018,AZ-2011-5702370,12,452,2,1018,0.1,552,165,5,TRUE
AZ-2011-5702370124522275,AZ-2011-5702370,12,452,2,275,0,257,49,5,FALSE
AZ-2011-5702370124522994,AZ-2011-5702370,12,452,2,994,0,17,6,2,FALSE
AZ-2011-5702370124522698,AZ-2011-5702370,12,452,2,698,0,522,21,2,TRUE
AZ-2011-9927716139182885,AZ-2011-9927716,13,918,2,885,0,290,70,5,FALSE
BN-2011-28074701483921536,BN-2011-2807470,14,839,2,1536,0.5,31,-14,5,TRUE
BN-2011-49138581571521781,BN-2011-4913858,15,715,2,1781,0.5,9,-3,3,TRUE
BN-2011-4913858157152838,BN-2011-4913858,15,715,2,838,0.5,22,-12,4,TRUE
BN-2011-4913858157152774,BN-2011-4913858,15,715,2,774,0.5,50,-38,2,FALSE
BN-2011-49138581571521609,BN-2011-4913858,15,715,2,1609,0.5,198,-131,2,FALSE
AZ-2011-596066216821802,AZ-2011-5960662,16,8,2,1802,0,224,103,11,FALSE
AZ-2011-596066216821661,AZ-2011-5960662,16,8,2,1661,0,486,78,3,FALSE
AZ-2011-59606621682140,AZ-2011-5960662,16,8,2,140,0,440,66,6,FALSE
AZ-2011-7675351174501494,AZ-2011-7675351,17,450,1,494,0.1,249,3,1,TRUE
AZ-2011-7675351174501839,AZ-2011-7675351,17,450,1,839,0,21,7,2,TRUE
AZ-2011-7675351174501777,AZ-2011-7675351,17,450,1,777,0,170,25,5,TRUE
AZ-2011-7675351174501619,AZ-2011-7675351,17,450,1,619,0,55,2,2,FALSE
AZ-2011-7675351174501862,AZ-2011-7675351,17,450,1,862,0,527,11,2,TRUE
BN-2011-377006018292919,BN-2011-3770060,18,29,2,919,0.5,17,-8,3,FALSE
AZ-2011-18169501931115,AZ-2011-1816950,19,31,1,15,0.5,26,-11,1,FALSE
AZ-2011-74192102082131718,AZ-2011-7419210,20,821,3,1718,0,108,33,8,TRUE
AZ-2011-3059419216243750,AZ-2011-3059419,21,624,3,750,0,48,21,3,FALSE
AZ-2011-53422652265031776,AZ-2011-5342265,22,650,3,1776,0,145,44,3,TRUE
AZ-2011-5342265226503711,AZ-2011-5342265,22,650,3,711,0.4,48,8,3,FALSE
AZ-2011-2002251232722312,AZ-2011-2002251,23,272,2,312,0,58,8,2,TRUE
AZ-2011-53571012446621183,AZ-2011-5357101,24,466,2,1183,0,495,233,2,FALSE
AZ-2011-224567425152184,AZ-2011-2245674,25,15,2,184,0,12,3,2,TRUE
AZ-2011-2245674251521731,AZ-2011-2245674,25,15,2,1731,0,666,120,5,TRUE
AZ-2011-8034411266652368,AZ-2011-8034411,26,665,2,368,0,825,338,2,TRUE
AZ-2011-8034411266652299,AZ-2011-8034411,26,665,2,299,0,54,12,1,TRUE
AZ-2011-80344112666521375,AZ-2011-8034411,26,665,2,1375,0.4,889,59,7,TRUE
AZ-2011-6684426276441308,AZ-2011-6684426,27,644,1,308,0,28,4,1,FALSE
BN-2011-7883641285863859,BN-2011-7883641,28,586,3,859,0.6,73,-57,1,TRUE
BN-2011-78836412858631278,BN-2011-7883641,28,586,3,1278,0.6,69,-95,3,FALSE
